        0.00   0.000000000000e+00
       10.00   1.421936456583e-01
       20.00   4.862821878483e-01
       30.00   1.040228721731e+00
       40.00   1.794714731692e+00
       50.00   2.705946331896e+00
       60.00   3.692472793276e+00
       70.00   4.642553504701e+00
       80.00   5.413122582350e+00
       90.00   5.766316286935e+00
      100.00   5.378214230594e+00
      110.00   4.525378661568e+00
      120.00   3.510369545394e+00
      130.00   2.500380504971e+00
      140.00   1.605213147171e+00
      150.00   8.945147479517e-01
      160.00   4.018194133311e-01
      170.00   1.299132853514e-01
      180.00   6.470250134080e-02
      190.00   1.952809467293e-01
      200.00   5.250308975544e-01
      210.00   1.062310779942e+00
      220.00   1.800494093901e+00
      230.00   2.703059788339e+00
      240.00   3.697367367133e+00
      250.00   4.669887817167e+00
      260.00   5.442640627769e+00
      270.00   5.668010653533e+00
      280.00   5.194197078832e+00
      290.00   4.365257070383e+00
      300.00   3.389285318270e+00
      310.00   2.404540983782e+00
      320.00   1.519482803527e+00
      330.00   8.120286282616e-01
      340.00   3.225398670271e-01
      350.00   5.643192654040e-02
