        0.00   4.162333058322e-01
       10.00   4.611504336178e-01
       20.00   6.150157553981e-01
       30.00   9.176761224497e-01
       40.00   1.394131512015e+00
       50.00   2.028141979037e+00
       60.00   2.755381527858e+00
       70.00   3.466494083327e+00
       80.00   4.001176076513e+00
       90.00   4.149230660611e+00
      100.00   3.807890609895e+00
      110.00   3.133531284021e+00
      120.00   2.336795061517e+00
      130.00   1.568861523637e+00
      140.00   9.267248089916e-01
      150.00   4.609245302090e-01
      160.00   1.762172090633e-01
      170.00   3.842867987694e-02
      180.00   0.000000000000e+00
      190.00   3.842867987694e-02
      200.00   1.762172090633e-01
      210.00   4.609245302090e-01
      220.00   9.267248089916e-01
      230.00   1.568861523637e+00
      240.00   2.336795061517e+00
      250.00   3.133531284021e+00
      260.00   3.807890609895e+00
      270.00   4.149230660611e+00
      280.00   4.001176076513e+00
      290.00   3.466494083327e+00
      300.00   2.755381527858e+00
      310.00   2.028141979037e+00
      320.00   1.394131512015e+00
      330.00   9.176761224497e-01
      340.00   6.150157553981e-01
      350.00   4.611504336178e-01
